Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,61.53,99.62,75.72,75.41,10.25
C#,67.62,96.58,83.38,80.77,9.83
PHP,66.74,98.88,80.49,80.35,8.46
Visual Basic,62.36,98.04,81.38,86.23,11.23
C,65.63,98.80,77.38,77.10,9.64
JavaScript,68.05,97.52,86.93,88.78,8.65
