Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.32,41.88,25.43,25.52,10.46
C#,3.00,30.42,12.84,12.18,8.43
PHP,14.32,52.60,29.24,26.02,10.94
Visual Basic,8.41,30.96,17.24,14.14,7.11
C,0.75,29.57,17.94,17.45,8.84
JavaScript,1.99,35.11,12.75,10.28,9.96
