Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,60.33,99.63,74.44,72.42,10.68
C#,64.05,96.20,81.70,79.90,11.22
PHP,57.60,98.88,78.15,79.33,10.29
Visual Basic,54.57,97.44,78.86,83.85,13.69
C,65.26,99.14,77.95,77.66,9.74
JavaScript,66.23,97.93,87.87,89.50,9.00
