Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,38.39,99.75,78.75,79.20,11.10
C#,21.67,99.88,78.05,79.39,12.67
PHP,22.83,98.88,75.90,76.91,12.96
Visual Basic,39.97,100.00,83.09,85.62,11.97
C,15.35,98.80,74.08,75.34,14.19
JavaScript,43.37,100.00,86.19,88.97,11.34
