Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,48.61,94.33,77.33,79.40,12.21
C#,47.61,97.90,76.39,79.77,14.66
PHP,57.28,95.24,76.45,77.44,8.50
Visual Basic,59.93,99.96,85.95,87.65,9.79
C,48.69,94.76,79.76,80.67,11.03
JavaScript,59.29,98.99,85.14,86.62,11.69
