Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,44.07,99.78,78.31,78.06,10.53
C#,28.57,99.79,81.95,83.25,11.47
PHP,38.63,99.86,71.14,70.22,11.96
Visual Basic,35.20,100.00,80.43,82.21,11.64
C,36.25,99.25,81.79,83.12,10.39
JavaScript,46.58,100.00,86.12,88.21,10.49
