Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,58.12,99.68,74.57,74.48,10.46
C#,69.58,97.00,87.16,87.82,8.43
PHP,47.40,85.68,70.76,73.98,10.94
Visual Basic,69.04,91.59,82.76,85.86,7.11
C,70.43,99.25,82.06,82.55,8.84
JavaScript,64.89,98.01,87.25,89.72,9.96
