Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.22,55.93,21.69,21.94,10.53
C#,0.21,71.43,18.05,16.75,11.47
PHP,0.14,61.37,28.86,29.77,11.96
Visual Basic,0.00,64.80,19.57,17.80,11.64
C,0.75,63.75,18.21,16.88,10.39
JavaScript,0.00,53.42,13.88,11.79,10.49
