Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,49.55,96.61,80.03,81.66,13.48
C#,70.75,99.79,85.11,84.69,8.58
PHP,43.78,98.22,69.85,68.36,13.85
Visual Basic,35.20,100.00,80.00,81.53,15.09
C,59.74,98.84,85.53,86.64,9.86
JavaScript,66.82,95.71,85.21,86.48,7.27
