Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.22,35.56,15.73,14.87,9.31
C#,2.47,71.43,17.61,14.84,13.63
PHP,0.14,61.37,28.51,26.43,16.43
Visual Basic,0.00,51.03,18.51,20.24,11.19
C,1.88,26.94,13.32,13.41,6.65
JavaScript,0.00,35.92,11.36,10.11,10.08
