Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.37,61.68,21.96,22.20,11.29
C#,0.20,61.93,23.48,22.52,12.81
PHP,1.12,87.43,26.92,25.39,14.15
Visual Basic,0.00,63.14,19.00,15.99,13.63
C,0.86,82.32,24.65,23.06,14.44
JavaScript,0.00,49.78,12.30,11.00,9.76
