Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,57.91,94.95,77.62,78.12,10.26
C#,54.58,98.84,81.20,83.94,11.66
PHP,53.11,91.65,70.86,71.68,8.86
Visual Basic,48.77,99.92,83.57,84.57,9.73
C,66.91,96.06,84.92,86.68,7.83
JavaScript,56.17,99.38,86.25,87.02,10.73
