Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,38.32,99.63,78.04,77.80,11.29
C#,38.07,99.80,76.52,77.49,12.81
PHP,12.57,98.88,73.08,74.61,14.15
Visual Basic,36.86,100.00,81.00,84.01,13.63
C,17.68,99.14,75.35,76.94,14.44
JavaScript,50.22,100.00,87.70,89.00,9.76
