Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,43.30,96.61,80.92,84.64,14.33
C#,58.34,99.88,81.42,82.00,11.38
PHP,42.51,98.54,73.88,75.41,14.75
Visual Basic,44.98,100.00,81.71,85.25,13.61
C,37.06,98.79,77.39,80.06,14.98
JavaScript,62.17,99.97,86.47,87.29,7.88
