Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.25,61.61,21.25,20.80,11.10
C#,0.12,78.33,21.95,20.61,12.67
PHP,1.12,77.17,24.10,23.09,12.96
Visual Basic,0.00,60.03,16.91,14.38,11.97
C,1.20,84.65,25.92,24.66,14.19
JavaScript,0.00,56.63,13.81,11.03,11.34
