Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,5.67,51.39,22.67,20.61,12.21
C#,2.10,52.39,23.61,20.23,14.66
PHP,4.76,42.72,23.55,22.56,8.50
Visual Basic,0.04,40.07,14.05,12.35,9.79
C,5.24,51.31,20.24,19.33,11.03
JavaScript,1.01,40.71,14.86,13.38,11.69
