Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.40,36.58,15.02,14.57,9.47
C#,4.65,57.78,22.53,18.56,13.25
PHP,1.12,87.43,27.76,24.78,19.18
Visual Basic,0.00,63.14,26.29,25.97,15.42
C,2.41,35.34,19.21,19.23,8.94
JavaScript,0.00,46.23,7.83,4.35,9.67
