Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,3.39,50.45,19.97,18.34,13.48
C#,0.21,29.25,14.89,15.32,8.58
PHP,1.78,56.22,30.15,31.64,13.85
Visual Basic,0.00,64.80,20.00,18.47,15.09
C,1.16,40.26,14.47,13.36,9.86
JavaScript,4.29,33.18,14.79,13.52,7.27
