Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,63.42,99.60,84.98,85.43,9.47
C#,42.22,95.35,77.47,81.44,13.25
PHP,12.57,98.88,72.24,75.22,19.18
Visual Basic,36.86,100.00,73.71,74.03,15.42
C,64.66,97.59,80.79,80.77,8.94
JavaScript,53.77,100.00,92.17,95.65,9.67
