Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,65.01,99.75,85.42,85.30,9.11
C#,21.67,95.50,77.73,79.62,14.74
PHP,22.83,98.73,74.42,77.84,17.75
Visual Basic,39.97,100.00,78.57,81.75,15.52
C,63.57,97.25,77.92,76.10,9.82
JavaScript,43.37,100.00,90.12,94.30,12.32
