Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.37,39.67,25.55,27.58,10.68
C#,3.80,35.95,18.30,20.11,11.22
PHP,1.12,42.40,21.85,20.67,10.29
Visual Basic,2.56,45.43,21.14,16.15,13.69
C,0.86,34.74,22.05,22.34,9.74
JavaScript,2.07,33.77,12.13,10.50,9.00
