Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,5.05,42.09,22.38,21.88,10.26
C#,1.16,45.42,18.80,16.05,11.66
PHP,8.35,46.89,29.14,28.32,8.86
Visual Basic,0.08,51.23,16.43,15.43,9.73
C,3.94,33.09,15.08,13.32,7.83
JavaScript,0.62,43.83,13.75,12.98,10.73
