Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.25,34.99,14.58,14.70,9.11
C#,4.50,78.33,22.27,20.38,14.74
PHP,1.27,77.17,25.58,22.16,17.75
Visual Basic,0.00,60.03,21.43,18.25,15.52
C,2.75,36.43,22.08,23.90,9.82
JavaScript,0.00,56.63,9.88,5.70,12.32
