Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,0.38,38.47,24.28,24.59,10.25
C#,3.42,32.38,16.62,19.23,9.83
PHP,1.12,33.26,19.51,19.65,8.46
Visual Basic,1.96,37.64,18.62,13.77,11.23
C,1.20,34.37,22.62,22.90,9.64
JavaScript,2.48,31.95,13.07,11.22,8.65
