Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,6.31,50.50,23.14,22.43,11.36
C#,2.45,56.35,25.32,23.70,15.34
PHP,6.96,51.22,25.33,24.70,8.43
Visual Basic,0.16,41.25,14.09,12.25,10.05
C,3.93,52.35,19.13,18.02,11.09
JavaScript,0.73,43.60,13.15,12.23,10.78
