Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,49.50,93.69,76.86,77.57,11.36
C#,43.65,97.55,74.68,76.30,15.34
PHP,48.78,93.04,74.67,75.30,8.43
Visual Basic,58.75,99.84,85.91,87.75,10.05
C,47.65,96.07,80.87,81.98,11.09
JavaScript,56.40,99.27,86.85,87.77,10.78
