Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,3.39,56.70,19.08,15.36,14.33
C#,0.12,41.66,18.58,18.00,11.38
PHP,1.46,57.49,26.12,24.59,14.75
Visual Basic,0.00,55.02,18.29,14.75,13.61
C,1.21,62.94,22.61,19.94,14.98
JavaScript,0.03,37.83,13.53,12.71,7.88
