Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,64.44,99.78,84.27,85.14,9.31
C#,28.57,97.53,82.39,85.16,13.63
PHP,38.63,99.86,71.49,73.58,16.43
Visual Basic,48.97,100.00,81.49,79.76,11.19
C,73.06,98.12,86.68,86.59,6.65
JavaScript,64.08,100.00,88.64,89.89,10.08
