Linguagem,Minimo,Maximo,Media,Mediana,Desvio Padrao
Java,43.94,97.02,81.00,86.84,14.56
C#,52.41,99.80,80.27,80.39,11.63
PHP,32.46,96.82,71.77,72.94,16.29
Visual Basic,41.34,100.00,80.02,84.23,16.26
C,36.74,98.26,78.08,77.87,15.86
JavaScript,66.25,99.98,87.94,88.77,6.92
