Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
JavaScript,freeCodeCamp | freeCodeCamp,255723,6748,262471,97.43,2.57,3860725,29489,3890214,99.24,0.76,32432,1082,33514,96.77,3.23
JavaScript,ruanyf | es6tutorial,153590,1182,154772,99.24,0.76,390114,5227,395341,98.68,1.32,1723,284,2007,85.85,14.15
JavaScript,chartjs | Chart.js,219280,25313,244593,89.65,10.35,693954,102429,796383,87.14,12.86,34197,2960,37157,92.03,7.97
JavaScript,alsotang | node-lessons,28882,8789,37671,76.67,23.33,88857,28791,117648,75.53,24.47,3833,1903,5736,66.82,33.18
JavaScript,yangshun | tech-interview-handbook,5378,85,5463,98.44,1.56,19874,331,20205,98.36,1.64,957,13,970,98.66,1.34
JavaScript,airbnb | javascript,6739,5793,12532,53.77,46.23,34139,44573,78712,43.37,56.63,1404,787,2191,64.08,35.92
JavaScript,blueimp | jQuery-File-Upload,31487,6985,38472,81.84,18.16,104069,29757,133826,77.76,22.24,5093,793,5886,86.53,13.47
JavaScript,sveltejs | svelte,113516,2938,116454,97.48,2.52,412890,12834,425724,96.99,3.01,19487,350,19837,98.24,1.76
JavaScript,jaredhanson | passport,47046,4274,51320,91.67,8.33,156989,16677,173666,90.40,9.60,6173,623,6796,90.83,9.17
JavaScript,gulpjs | gulp,3591,71,3662,98.06,1.94,12588,326,12914,97.48,2.52,349,101,450,77.56,22.44
JavaScript,jquery | jquery,612828,155186,768014,79.79,20.21,2116210,2751932,4868142,43.47,56.53,56610,18699,75309,75.17,24.83
JavaScript,feathericons | feather,2613,561,3174,82.33,17.67,11859,1969,13828,85.76,14.24,414,96,510,81.18,18.82
JavaScript,select2 | select2,295382,41778,337160,87.61,12.39,982864,176904,1159768,84.75,15.25,36225,4517,40742,88.91,11.09
JavaScript,facebook | jest,916905,223669,1140574,80.39,19.61,3609140,802224,4411364,81.81,18.19,115052,27324,142376,80.81,19.19
JavaScript,nosir | cleave.js,3815296,175915,3991211,95.59,4.41,8584699,811385,9396084,91.36,8.64,15420,16213,31633,48.75,51.25
JavaScript,petkaantonov | bluebird,251846,19155,271001,92.93,7.07,841701,74668,916369,91.85,8.15,34720,2920,37640,92.24,7.76
JavaScript,impress | impress.js,39335,21737,61072,64.41,35.59,155598,86679,242277,64.22,35.78,6024,2278,8302,72.56,27.44
JavaScript,jashkenas | underscore,89783,11805,101588,88.38,11.62,282894,47711,330605,85.57,14.43,8251,1167,9418,87.61,12.39
JavaScript,mojs | mojs,382846,42703,425549,89.97,10.03,1170235,156478,1326713,88.21,11.79,39130,6882,46012,85.04,14.96
JavaScript,Reactive-Extensions | RxJS,2826381,374762,3201143,88.29,11.71,8297374,1612644,9910018,83.73,16.27,229834,32202,262036,87.71,12.29
JavaScript,webtorrent | webtorrent,171998,5477,177475,96.91,3.09,457016,21311,478327,95.54,4.46,4525,605,5130,88.21,11.79
JavaScript,Automattic | mongoose,668748,108442,777190,86.05,13.95,2035353,401948,2437301,83.51,16.49,75025,15053,90078,83.29,16.71
JavaScript,angular-ui | bootstrap,275594,11080,286674,96.13,3.87,967448,45422,1012870,95.52,4.48,23788,1534,25322,93.94,6.06
JavaScript,rstacruz | nprogress,2945,615,3560,82.72,17.28,9749,2178,11927,81.74,18.26,408,114,522,78.16,21.84
JavaScript,parcel-bundler | parcel,129489,9010,138499,93.49,6.51,481168,38417,519585,92.61,7.39,21734,859,22593,96.20,3.80
JavaScript,airbnb | enzyme,41907,13072,54979,76.22,23.78,174172,54354,228526,76.22,23.78,7248,1784,9032,80.25,19.75
JavaScript,Microsoft | monaco-editor,559638,3087,562725,99.45,0.55,3416114,13900,3430014,99.59,0.41,180510,930,181440,99.49,0.51
JavaScript,react-bootstrap | react-bootstrap,106057,9858,115915,91.50,8.50,409050,38288,447338,91.44,8.56,17660,1647,19307,91.47,8.53
JavaScript,jorgebucaran | hyperapp,2608,0,2608,100.00,0.00,7741,0,7741,100.00,0.00,424,0,424,100.00,0.00
JavaScript,GoogleChrome | puppeteer,174124,38273,212397,81.98,18.02,690240,143506,833746,82.79,17.21,21404,5794,27198,78.70,21.30
JavaScript,chenglou | react-motion,20409,3102,23511,86.81,13.19,65149,12264,77413,84.16,15.84,3119,256,3375,92.41,7.59
JavaScript,atlassian | react-beautiful-dnd,317479,40426,357905,88.70,11.30,1639181,173909,1813090,90.41,9.59,58725,5987,64712,90.75,9.25
JavaScript,felixrieseberg | windows95,208321,304,208625,99.85,0.15,572950,1146,574096,99.80,0.20,1917,63,1980,96.82,3.18
JavaScript,algorithm-visualizer | algorithm-visualizer,12147,50,12197,99.59,0.41,44834,223,45057,99.51,0.49,1757,11,1768,99.38,0.62
JavaScript,mrdoob | three.js,5885314,181195,6066509,97.01,2.99,13392724,758064,14150788,94.64,5.36,220208,25860,246068,89.49,10.51
JavaScript,ruanyf | react-demos,765417,94001,859418,89.06,10.94,2298478,384095,2682573,85.68,14.32,27961,10989,38950,71.79,28.21
JavaScript,reduxjs | redux,40577,3383,43960,92.30,7.70,160721,13778,174499,92.10,7.90,7426,394,7820,94.96,5.04
JavaScript,pixijs | pixi.js,195200,94589,289789,67.36,32.64,665430,375184,1040614,63.95,36.05,29077,14848,43925,66.20,33.80
JavaScript,yarnpkg | yarn,316185,47205,363390,87.01,12.99,1286683,178727,1465410,87.80,12.20,38750,4398,43148,89.81,10.19
JavaScript,apache | incubator-echarts,3922260,1060916,4983176,78.71,21.29,13028314,4132236,17160550,75.92,24.08,348251,146476,494727,70.39,29.61
JavaScript,styled-components | styled-components,157945,35954,193899,81.46,18.54,897216,143529,1040745,86.21,13.79,28779,5380,34159,84.25,15.75
JavaScript,cheeriojs | cheerio,56955,2478,59433,95.83,4.17,185506,9116,194622,95.32,4.68,5933,360,6293,94.28,5.72
JavaScript,vuetifyjs | vuetify,163780,5369,169149,96.83,3.17,620176,23879,644055,96.29,3.71,26741,930,27671,96.64,3.36
