Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
JavaScript,ianstormtaylor | slate,220334,47889,268223,82.15,17.85,760494,150144,910638,83.51,16.49
JavaScript,immutable-js | immutable-js,72113,11114,83227,86.65,13.35,236486,42827,279313,84.67,15.33
JavaScript,impress | impress.js,39335,21737,61072,64.41,35.59,155598,86679,242277,64.22,35.78
JavaScript,JacksonTian | fks,425510,130539,556049,76.52,23.48,1095764,498550,1594314,68.73,31.27
JavaScript,jaredhanson | passport,47046,4274,51320,91.67,8.33,156989,16677,173666,90.40,9.60
JavaScript,jashkenas | backbone,159983,38319,198302,80.68,19.32,489851,156746,646597,75.76,24.24
JavaScript,jashkenas | underscore,89783,11805,101588,88.38,11.62,282894,47711,330605,85.57,14.43
JavaScript,jasmine | jasmine,183596,23864,207460,88.50,11.50,726099,91465,817564,88.81,11.19
JavaScript,jaywcjlove | awesome-mac,1796,111,1907,94.18,5.82,5945,393,6338,93.80,6.20
JavaScript,JedWatson | react-select,75249,7686,82935,90.73,9.27,362055,33409,395464,91.55,8.45
JavaScript,jiahaog | nativefier,16459,1725,18184,90.51,9.49,73087,7669,80756,90.50,9.50
JavaScript,jorgebucaran | hyperapp,2608,0,2608,100.00,0.00,7741,0,7741,100.00,0.00
JavaScript,jquery | jquery,612828,155186,768014,79.79,20.21,2116210,2751932,4868142,43.47,56.53
JavaScript,juliangarnier | anime,107733,4729,112462,95.80,4.20,308088,21167,329255,93.57,6.43
JavaScript,julianshapiro | velocity,169397,29458,198855,85.19,14.81,525090,117166,642256,81.76,18.24
JavaScript,kenwheeler | slick,31941,470,32411,98.55,1.45,96806,1728,98534,98.25,1.75
JavaScript,keystonejs | keystone,1109638,68128,1177766,94.22,5.78,3307426,282033,3589459,92.14,7.86
JavaScript,knsv | mermaid,86751,8356,95107,91.21,8.79,274486,32131,306617,89.52,10.48
JavaScript,koajs | koa,31767,3908,35675,89.05,10.95,107122,13227,120349,89.01,10.99
JavaScript,kriasoft | react-starter-kit,14413,7341,21754,66.25,33.75,55219,33596,88815,62.17,37.83
JavaScript,kriskowal | q,46172,9385,55557,83.11,16.89,152697,36497,189194,80.71,19.29
JavaScript,Leaflet | Leaflet,483698,39256,522954,92.49,7.51,1676592,152758,1829350,91.65,8.35
JavaScript,lerna | lerna,132545,12996,145541,91.07,8.93,584094,61100,645194,90.53,9.47
JavaScript,less | less.js,238404,28761,267165,89.23,10.77,746704,112075,858779,86.95,13.05
JavaScript,LisaDziuba | Awesome-Design-Tools,3136,6,3142,99.81,0.19,462490,31,462521,99.99,0.01
JavaScript,localForage | localForage,119260,18250,137510,86.73,13.27,365551,73631,439182,83.23,16.77
JavaScript,lodash | lodash,192276,51678,243954,78.82,21.18,684665,159377,844042,81.12,18.88
JavaScript,lord | slate,56088,21870,77958,71.95,28.05,172295,91239,263534,65.38,34.62
JavaScript,Marak | faker.js,9696104,495840,10191944,95.13,4.87,54626991,2038125,56665116,96.40,3.60
