Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
C,stanfordnlp | GloVe,10463,2724,13187,79.34,20.66,33158,11775,44933,73.79,26.21,1140,185,1325,86.04,13.96
C,shellphish | how2heap,8582,4690,13272,64.66,35.34,57635,17839,75474,76.36,23.64,1174,402,1576,74.49,25.51
C,mattn | go-sqlite3,927446,810778,1738224,53.36,46.64,3086515,3269135,6355650,48.56,51.44,141668,79804,221472,63.97,36.03
C,memcached | memcached,113273,28450,141723,79.93,20.07,430924,108594,539518,79.87,20.13,18072,2819,20891,86.51,13.49
C,gentilkiwi | mimikatz,1249845,850864,2100709,59.50,40.50,4723113,3455980,8179093,57.75,42.25,194911,85972,280883,69.39,30.61
C,cinder | Cinder,3447288,1897165,5344453,64.50,35.50,12397412,7998965,20396377,60.78,39.22,548574,288892,837466,65.50,34.50
C,nmap | nmap,970253,710994,1681247,57.71,42.29,3348604,2870495,6219099,53.84,46.16,164194,71592,235786,69.64,30.36
C,orangeduck | Cello,88574,6028,94602,93.63,6.37,292525,23234,315759,92.64,7.36,13906,698,14604,95.22,4.78
C,offensive-security | exploitdb,4070939,1087143,5158082,78.92,21.08,17419826,4159319,21579145,80.73,19.27,514493,125668,640161,80.37,19.63
C,espressif | arduino-esp32,383951,1020471,1404422,27.34,72.66,1754491,4148060,5902551,29.72,70.28,178915,139416,318331,56.20,43.80
C,hak5darren | USB-Rubber-Ducky,633893,1073236,1707129,37.13,62.87,2864224,4390243,7254467,39.48,60.52,71960,62239,134199,53.62,46.38
C,jarun | nnn,20574,4983,25557,80.50,19.50,60330,19781,80111,75.31,24.69,3636,545,4181,86.96,13.04
C,mruby | mruby,226717,52841,279558,81.10,18.90,740849,171406,912255,81.21,18.79,37504,6926,44430,84.41,15.59
C,greenplum-db | gpdb,5205133,2958879,8164012,63.76,36.24,21544799,11488126,33032925,65.22,34.78,951738,362267,1314005,72.43,27.57
C,fogleman | Craft,1117051,651501,1768552,63.16,36.84,4725431,2689393,7414824,63.73,36.27,172324,64226,236550,72.85,27.15
C,commaai | openpilot,933704,412343,1346047,69.37,30.63,3247766,1765530,5013296,64.78,35.22,128719,36953,165672,77.70,22.30
C,mjolnirapp | mjolnir,92401,28718,121119,76.29,23.71,262270,109734,372004,70.50,29.50,13930,2249,16179,86.10,13.90
