Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
C#,felixse | FluentTerminal,244,11636
C#,Microsoft | msbuild,134654,425115
C#,dodyg | practical-aspnetcore,379,16262
C#,JeffreySu | WeiXinMPSDK,55205,77973
C#,hbons | SparkleShare,1327,10473
C#,mRemoteNG | mRemoteNG,8041,63403
C#,fluentmigrator | fluentmigrator,21613,79497
C#,aspnet | JavaScriptServices,1117,3695
C#,IdentityServer | IdentityServer3,15370,35148
C#,ferventdesert | Hawk,2600,27722
C#,BearishSun | BansheeEngine,12244,31420
C#,Unity-Technologies | ml-agents,2644,14627
C#,dotnet | standard,1891,251038
C#,Nummer | Destroy-Windows-10-Spying,135,1856
C#,PKISharp | win-acme,1691,13347
C#,EduardoPires | EquinoxProject,112,4416
C#,jbogard | MediatR,968,4925
C#,aspnet | Identity,9850,31850
C#,Unity-Technologies | FPSSample,13568,196679
C#,bitwarden | server,826,31358
C#,Radarr | Radarr,8897,130676
C#,mbdavid | LiteDB,3624,18232
C#,JanKallman | EPPlus,52017,108754
C#,Unity-Technologies | EntityComponentSystemSamples,896,14457
C#,mono | mono,1203293,5559132
C#,Glimpse | Glimpse,10274,43098
C#,MahApps | MahApps.Metro,4599,25448
C#,JasonGT | NorthwindTraders,42,20416
C#,StockSharp | StockSharp,73786,132338
C#,Unity-Technologies | PostProcessing,3238,11033
C#,aspnet | AspNetCore,132715,770779
C#,Microsoft | react-native-windows,14657,48606
C#,umbraco | Umbraco-CMS,66030,231009
C#,JimBobSquarePants | ImageProcessor,18313,22005
C#,OfficeDev | Open-XML-SDK,174024,280521
C#,graphql-dotnet | graphql-dotnet,1145,37016
C#,cefsharp | CefSharp,14119,19533
C#,OrchardCMS | OrchardCore,9055,100382
C#,cake-build | cake,48379,96432
C#,HangfireIO | Hangfire,10094,42112
C#,louthy | language-ext,148937,130756
C#,QL-Win | QuickLook,2197,6873
C#,LazoCoder | Windows-Hacks,299,1857
C#,dotnet | orleans,32608,195529
C#,dotnetcore | Util,47648,63279
C#,moq | moq4,5927,25089
C#,JoshClose | CsvHelper,6682,25266
C#,KeenSoftwareHouse | SpaceEngineers,65210,620662
C#,NickeManarin | ScreenToGif,9113,42242
C#,JeremySkinner | FluentValidation,6381,18740
C#,GoogleCloudPlatform | microservices-demo,334,5767
C#,domaindrivendev | Swashbuckle,459,6954
C#,icsharpcode | ILSpy,33251,149111
C#,App-vNext | Polly,9979,38596
