Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
PHP,FriendsOfPHP | Goutte,3727,303,4030,92.48,7.52,15291,1264,16555,92.36,7.64
PHP,FriendsOfPHP | PHP-CS-Fixer,368435,125295,493730,74.62,25.38,2229958,491916,2721874,81.93,18.07
PHP,fuzzdb-project | fuzzdb,7848,8654,16502,47.56,52.44,29475,39868,69343,42.51,57.49
PHP,fzaninotto | Faker,468659,78879,547538,85.59,14.41,8990491,339741,9330232,96.36,3.64
PHP,geocoder-php | Geocoder,89249,22204,111453,80.08,19.92,416295,93407,509702,81.67,18.33
PHP,getgrav | grav,232707,93292,325999,71.38,28.62,969971,349910,1319881,73.49,26.51
PHP,googleapis | google-api-php-client,36981,16625,53606,68.99,31.01,163457,74776,238233,68.61,31.39
PHP,guzzle | guzzle,54946,13472,68418,80.31,19.69,217940,57246,275186,79.20,20.80
PHP,guzzle | promises,18542,3759,22301,83.14,16.86,63222,15896,79118,79.91,20.09
PHP,guzzle | psr7,44797,10227,55024,81.41,18.59,178792,42839,221631,80.67,19.33
PHP,hamcrest | hamcrest-php,31171,9068,40239,77.46,22.54,145720,32558,178278,81.74,18.26
PHP,hanc00l | wooyun_public,2365,68,2433,97.21,2.79,9471,418,9889,95.77,4.23
PHP,helloqingfeng | Awsome-Front-End-learning-resource,68561,69697,138258,49.59,50.41,307206,222790,529996,57.96,42.04
PHP,hirak | prestissimo,9138,787,9925,92.07,7.93,36965,3381,40346,91.62,8.38
PHP,humhub | humhub,730365,1222085,1952450,37.41,62.59,5522304,4967657,10489961,52.64,47.36
PHP,Intervention | image,92256,12481,104737,88.08,11.92,348417,52178,400595,86.97,13.03
PHP,invoiceninja | invoiceninja,840024,100326,940350,89.33,10.67,7654106,336755,7990861,95.79,4.21
PHP,isohuntto | openbay,30633,5336,35969,85.17,14.83,137478,21427,158905,86.52,13.48
PHP,ivanakimov | hashids.php,4343,1814,6157,70.54,29.46,17026,6664,23690,71.87,28.13
PHP,JakubOnderka | PHP-Console-Color,2141,197,2338,91.57,8.43,8824,739,9563,92.27,7.73
PHP,JakubOnderka | PHP-Console-Highlighter,1567,193,1760,89.03,10.97,8563,1005,9568,89.50,10.50
PHP,JeffreyWay | Laravel-4-Generators,6262,3066,9328,67.13,32.87,31152,10498,41650,74.79,25.21
PHP,jenssegers | laravel-mongodb,47109,9161,56270,83.72,16.28,175791,34935,210726,83.42,16.58
PHP,johnlui | Learn-Laravel-5,9369,10998,20367,46.00,54.00,44776,32165,76941,58.20,41.80
PHP,joomla | joomla-cms,2223238,1390157,3613395,61.53,38.47,9184244,5300773,14485017,63.41,36.59
PHP,joypixels | emojione,197890,2251,200141,98.88,1.12,727263,8244,735507,98.88,1.12
PHP,kalcaddle | KodExplorer,537703,61553,599256,89.73,10.27,3097662,207862,3305524,93.71,6.29
