Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
PHP,kanboard | kanboard,1008361,300000,1308361,77.07,22.93,6130257,1058923,7189180,85.27,14.73,172163,55950,228113,75.47,24.53
PHP,nikic | FastRoute,7374,2846,10220,72.15,27.85,31783,8429,40212,79.04,20.96,1345,330,1675,80.30,19.70
PHP,facebook | php-webdriver,44846,36974,81820,54.81,45.19,222655,162627,385282,57.79,42.21,8136,5883,14019,58.04,41.96
PHP,ethicalhack3r | DVWA,125943,68250,194193,64.85,35.15,590422,266799,857221,68.88,31.12,19587,9675,29262,66.94,33.06
PHP,serbanghita | Mobile-Detect,29401,8501,37902,77.57,22.43,340524,39791,380315,89.54,10.46,3412,1140,4552,74.96,25.04
PHP,symfony | polyfill-mbstring,14077,643,14720,95.63,4.37,51396,3066,54462,94.37,5.63,2839,72,2911,97.53,2.47
PHP,sebastianbergmann | phpunit,179507,61126,240633,74.60,25.40,828767,274585,1103352,75.11,24.89,146088,45600,191688,76.21,23.79
PHP,barryvdh | laravel-dompdf,1364,2126,3490,39.08,60.92,5370,8215,13585,39.53,60.47,221,321,542,40.77,59.23
PHP,fuzzdb-project | fuzzdb,7848,8654,16502,47.56,52.44,29475,39868,69343,42.51,57.49,1908,1046,2954,64.59,35.41
PHP,doctrine | annotations,43150,8862,52012,82.96,17.04,178436,33611,212047,84.15,15.85,8208,2225,10433,78.67,21.33
PHP,symfony | process,17960,7124,25084,71.60,28.40,75235,30213,105448,71.35,28.65,3043,1237,4280,71.10,28.90
PHP,spatie | laravel-backup,23099,1728,24827,93.04,6.96,150197,7511,157708,95.24,4.76,4051,369,4420,91.65,8.35
PHP,joypixels | emojione,197890,2251,200141,98.88,1.12,727263,8244,735507,98.88,1.12,5132,5694,10826,47.40,52.60
PHP,phacility | phabricator,2382221,306775,2688996,88.59,11.41,12181418,1147376,13328794,91.39,8.61,479747,32651,512398,93.63,6.37
PHP,Seldaek | monolog,91446,32695,124141,73.66,26.34,399701,139761,539462,74.09,25.91,14513,6163,20676,70.19,29.81
PHP,symfony | css-selector,22246,8097,30343,73.32,26.68,98876,33449,132325,74.72,25.28,3384,1673,5057,66.92,33.08
PHP,barryvdh | laravel-ide-helper,10600,4428,15028,70.54,29.46,45899,16763,62662,73.25,26.75,1855,864,2719,68.22,31.78
PHP,egulias | EmailValidator,13715,743,14458,94.86,5.14,60689,2989,63678,95.31,4.69,2254,221,2475,91.07,8.93
PHP,typecho | typecho,129774,46960,176734,73.43,26.57,531609,193860,725469,73.28,26.72,23524,13266,36790,63.94,36.06
PHP,PHPOffice | PhpSpreadsheet,493650,174381,668031,73.90,26.10,1994055,657427,2651482,75.21,24.79,90308,32526,122834,73.52,26.48
PHP,ivanakimov | hashids.php,4343,1814,6157,70.54,29.46,17026,6664,23690,71.87,28.13,620,505,1125,55.11,44.89
PHP,guzzle | promises,18542,3759,22301,83.14,16.86,63222,15896,79118,79.91,20.09,2809,613,3422,82.09,17.91
PHP,wp-cli | wp-cli,62239,27414,89653,69.42,30.58,262714,105754,368468,71.30,28.70,9569,4509,14078,67.97,32.03
PHP,doctrine | common,18177,6832,25009,72.68,27.32,101582,28455,130037,78.12,21.88,3754,1796,5550,67.64,32.36
PHP,kriswallsmith | assetic,58308,19115,77423,75.31,24.69,257005,76523,333528,77.06,22.94,10885,3799,14684,74.13,25.87
PHP,barryvdh | laravel-debugbar,17980,5782,23762,75.67,24.33,72425,22588,95013,76.23,23.77,3112,1128,4240,73.40,26.60
PHP,laravel | socialite,7060,2684,9744,72.45,27.55,31664,9990,41654,76.02,23.98,1181,808,1989,59.38,40.62
PHP,deployphp | deployer,42674,13001,55675,76.65,23.35,185056,49793,234849,78.80,21.20,7815,2860,10675,73.21,26.79
PHP,symfony | event-dispatcher,13765,3408,17173,80.15,19.85,63142,13454,76596,82.44,17.56,1977,687,2664,74.21,25.79
PHP,swiftmailer | swiftmailer,163058,49388,212446,76.75,23.25,728000,187791,915791,79.49,20.51,27531,9772,37303,73.80,26.20
PHP,Respect | Validation,111009,81095,192104,57.79,42.21,508673,369651,878324,57.91,42.09,26281,13146,39427,66.66,33.34
PHP,WP-API | WP-API,111361,14758,126119,88.30,11.70,510278,60719,570997,89.37,10.63,14340,2640,16980,84.45,15.55
PHP,ramsey | uuid,28769,17109,45878,62.71,37.29,147103,80407,227510,64.66,35.34,4895,3201,8096,60.46,39.54
PHP,botman | botman,50785,11361,62146,81.72,18.28,214285,41669,255954,83.72,16.28,8207,3029,11236,73.04,26.96
PHP,z-song | laravel-admin,105051,33863,138914,75.62,24.38,465752,109166,574918,81.01,18.99,18650,9976,28626,65.15,34.85
PHP,twigphp | Twig,105894,30997,136891,77.36,22.64,485211,123829,609040,79.67,20.33,17316,5390,22706,76.26,23.74
PHP,matomo-org | matomo,1473041,612925,2085966,70.62,29.38,8288757,2531170,10819927,76.61,23.39,253194,104952,358146,70.70,29.30
PHP,sebastianbergmann | resource-operations,4626,152,4778,96.82,3.18,44406,660,45066,98.54,1.46,2266,41,2307,98.22,1.78
PHP,docker | labs,909730,679012,1588742,57.26,42.74,4009625,2586297,6595922,60.79,39.21,167147,103826,270973,61.68,38.32
PHP,sebastianbergmann | exporter,1807,609,2416,74.79,25.21,7415,2569,9984,74.27,25.73,485,113,598,81.10,18.90
PHP,maximebf | php-debugbar,31655,13048,44703,70.81,29.19,136289,51906,188195,72.42,27.58,5584,2698,8282,67.42,32.58
PHP,flarum | core,99969,53936,153905,64.96,35.04,440434,204379,644813,68.30,31.70,17906,12018,29924,59.84,40.16
PHP,barryvdh | laravel-cors,3871,603,4474,86.52,13.48,17256,2316,19572,88.17,11.83,598,106,704,84.94,15.06
PHP,silexphp | Silex,51084,11971,63055,81.01,18.99,228587,47931,276518,82.67,17.33,7450,2259,9709,76.73,23.27
PHP,thephpleague | flysystem,37022,10297,47319,78.24,21.76,163793,37675,201468,81.30,18.70,6270,2864,9134,68.64,31.36
PHP,PHPOffice | PHPExcel,462190,256772,718962,64.29,35.71,1994211,1000106,2994317,66.60,33.40,69553,40140,109693,63.41,36.59
PHP,facebookarchive | facebook-php-sdk,15775,5173,20948,75.31,24.69,73742,20248,93990,78.46,21.54,2794,831,3625,77.08,22.92
PHP,tennc | webshell,1175436,68611,1244047,94.48,5.52,8059334,251783,8311117,96.97,3.03,245641,12140,257781,95.29,4.71
PHP,mtdowling | cron-expression,9826,3467,13293,73.92,26.08,40020,14108,54128,73.94,26.06,1325,613,1938,68.37,31.63
PHP,dompdf | dompdf,133457,80246,213703,62.45,37.55,467579,293902,761481,61.40,38.60,22059,12661,34720,63.53,36.47
PHP,phpDocumentor | ReflectionDocBlock,28326,17110,45436,62.34,37.66,135303,90894,226197,59.82,40.18,4572,3538,8110,56.37,43.63
PHP,Intervention | image,92256,12481,104737,88.08,11.92,348417,52178,400595,86.97,13.03,11419,2975,14394,79.33,20.67
PHP,thephpleague | oauth2-server,40402,8929,49331,81.90,18.10,220838,42413,263251,83.89,16.11,6472,2253,8725,74.18,25.82
PHP,owncloud | core,1560531,790620,2351151,66.37,33.63,6839025,3183866,10022891,68.23,31.77,228351,133222,361573,63.15,36.85
PHP,chriskacerguis | codeigniter-restserver,14073,14777,28850,48.78,51.22,68209,50868,119077,57.28,42.72,2597,1886,4483,57.93,42.07
PHP,PHPMailer | PHPMailer,29923,22031,51954,57.60,42.40,172580,86015,258595,66.74,33.26,6456,3475,9931,65.01,34.99
PHP,roots | sage,2694,1597,4291,62.78,37.22,13631,6122,19753,69.01,30.99,313,243,556,56.29,43.71
PHP,picocms | Pico,10467,12874,23341,44.84,55.16,42103,49324,91427,46.05,53.95,1531,1966,3497,43.78,56.22
PHP,symfony | debug,22448,4787,27235,82.42,17.58,111489,19310,130799,85.24,14.76,3651,882,4533,80.54,19.46
PHP,isohuntto | openbay,30633,5336,35969,85.17,14.83,137478,21427,158905,86.52,13.48,7404,1212,8616,85.93,14.07
PHP,FriendsOfPHP | PHP-CS-Fixer,368435,125295,493730,74.62,25.38,2229958,491916,2721874,81.93,18.07,104707,36006,140713,74.41,25.59
PHP,doctrine | inflector,17666,1190,18856,93.69,6.31,69362,4373,73735,94.07,5.93,2829,284,3113,90.88,9.12
PHP,timber | timber,110260,29517,139777,78.88,21.12,483768,104341,588109,82.26,17.74,14666,4835,19501,75.21,24.79
PHP,andersao | l5-repository,16025,9062,25087,63.88,36.12,71022,32216,103238,68.79,31.21,2979,2630,5609,53.11,46.89
PHP,rappasoft | laravel-5-boilerplate,104426,66976,171402,60.92,39.08,821563,204648,1026211,80.06,19.94,21571,7531,29102,74.12,25.88
PHP,mautic | mautic,1627625,445571,2073196,78.51,21.49,7751211,1870504,9621715,80.56,19.44,286951,115270,402221,71.34,28.66
