Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
PHP,domnikl | DesignPatternsPHP,804,2925
PHP,phar-io | version,573,799
PHP,wp-cli | wp-cli,4509,9569
PHP,sebastianbergmann | phpunit-mock-objects,1747,4082
PHP,abraham | twitteroauth,672,1070
PHP,overtrue | wechat,12645,20347
PHP,Maatwebsite | Laravel-Excel,3637,8412
PHP,doctrine | inflector,284,2829
PHP,hamcrest | hamcrest-php,1776,6438
PHP,JakubOnderka | PHP-Console-Color,64,370
PHP,helloqingfeng | Awsome-Front-End-learning-resource,10118,11735
PHP,octobercms | october,18465,77545
PHP,directus | directus,102166,225958
PHP,CachetHQ | Cachet,21783,50086
PHP,laravel | laravel,1248,1128
PHP,guzzle | psr7,1718,7277
PHP,cakephp | phinx,8910,23966
PHP,squizlabs | PHP_CodeSniffer,22413,52533
PHP,pagekit | pagekit,9053,46297
PHP,dompdf | dompdf,12661,22059
PHP,fideloper | TrustedProxy,175,254
PHP,php-ai | php-ml,2885,13087
PHP,doctrine | dbal,16477,51006
PHP,sebastianbergmann | php-file-iterator,78,216
PHP,phpspec | prophecy,2785,8247
PHP,symfony | css-selector,1673,3384
PHP,FriendsOfPHP | PHP-CS-Fixer,36006,104707
PHP,thephpleague | flysystem,2864,6270
PHP,myclabs | DeepCopy,282,1451
PHP,laravel | tinker,140,235
PHP,Sylius | Sylius,38851,103847
PHP,phacility | phabricator,32651,479747
PHP,twigphp | Twig,5390,17316
PHP,googleapis | google-api-php-client,2522,6571
PHP,opencart | opencart,39200,227484
PHP,doctrine | lexer,216,332
PHP,phpDocumentor | TypeResolver,1362,1595
PHP,facebook | php-webdriver,5883,8136
PHP,joypixels | emojione,5694,5132
PHP,laravel | socialite,808,1181
PHP,hirak | prestissimo,258,42268
PHP,caouecs | Laravel-lang,4239,9986
PHP,serbanghita | Mobile-Detect,1140,3412
PHP,kalcaddle | KodExplorer,5920,58354
PHP,catfan | Medoo,14,1364
